zpid,streetAddress,zipcode,price,bathrooms,bedrooms,livingArea,homeType,lotAreaValue
47856167,1623 SE Green Acres Cir APT X201,34952,220000.0,2.0,2.0,874.0,CONDO,0.0
81398553,2074 SE Fern Park Dr,34952,340000.0,3.0,3.0,1501.0,SINGLE_FAMILY,2831.0
2056338025,45 Mariposa Ln,34952,119900.0,2.0,2.0,1224.0,MANUFACTURED,0.0
2059999843,2325 SE Tavares Dr #4704,34952,345495.0,3.0,3.0,1666.0,SINGLE_FAMILY,2614.0
2136921946,118 Camino Del Rio,34952,75000.0,2.0,2.0,1450.0,MANUFACTURED,0.0
47857809,3193 SE Carrick Green Ct,34952,460000.0,3.0,3.0,1915.0,SINGLE_FAMILY,5810.0
66217095,2825 Three Wood Dr,34952,235000.0,2.0,2.0,1695.0,MANUFACTURED,7645.0
81391262,2078 SE Wild Meadow Cir,34952,280000.0,2.0,2.0,1498.0,CONDO,1000.0
81394706,2167 SE Destin Dr,34952,285000.0,3.0,3.0,1615.0,TOWNHOUSE,2222.0
47850661,1997 SE Bolton Ave,34952,417500.0,3.0,4.0,2216.0,SINGLE_FAMILY,0.4800045913682277
47817537,507 Coconut Ave E,34952,289000.0,2.0,3.0,1805.0,SINGLE_FAMILY,0.33340000000000003
47847524,2136 SE East Dunbrooke Cir,34952,190000.0,1.0,2.0,912.0,SINGLE_FAMILY,0.3
,,,,,,,,
47853177,3374 Columbrina Cir,34952,305000.0,2.0,2.0,1515.0,MANUFACTURED,6290.0
47856691,2510 SE Anchorage Cv APT F-1,34952,237000.0,,,1018.0,CONDO,1000.0
70418168,2825 Eagles Nest Way,34952,169000.0,2.0,3.0,1560.0,MANUFACTURED,5966.0
,,,,,,,,
47843584,2749 SE Mariposa Ave,34952,340000.0,2.0,2.0,1242.0,SINGLE_FAMILY,0.0
47850606,2622 SE Emmett Rd,34952,550000.0,3.0,3.0,2585.0,SINGLE_FAMILY,0.6199954086317723
47850696,2417 SE Elston St,34952,599900.0,2.0,3.0,1863.0,SINGLE_FAMILY,0.5
47853201,8490 Schefflera Ct,34952,170000.0,2.0,2.0,1514.0,MANUFACTURED,5492.916
54858931,3804 Fetterbush Ct,34952,89000.0,2.0,2.0,1238.0,MANUFACTURED,7838.0
62004582,3053 Five Iron Dr,34952,180000.0,2.0,2.0,1247.0,MANUFACTURED,6400.0
66222129,3060 Eagles Nest Way,34952,110000.0,2.0,2.0,1080.0,MANUFACTURED,6011.28
66222162,2341 SE Tavares Dr,34952,360100.0,3.0,3.0,1666.0,SINGLE_FAMILY,2614.0
47847404,1508 SE Collette Cir,34952,264000.0,2.0,2.0,987.0,SINGLE_FAMILY,0.26000918273645546
